UniqueID,wave2.dum,wave3.dum,mg.asp_w2,mg.asp_w3,mg.pln_w1,mg.pln_w2,mg.pln_w3,treat.dum,Region,nonmissing2,nonmissing3,wt2,wt3,bus.location,bus.open,bus.purchases,bus.hire,bus.profit,bus.close,self.suff_w2,efficacy_w2,placeat_w2,self.suff_w3,efficacy_w3,placeat_w3,age,educ,male,bs.exp.now,bs.exp.past,Score,job_w1,top.dest.d_w1,top.dest.d_w2,top.dest.d_w3,nt.mg.afr,nt.mg.good.afr,nt.mg.cnt.afr,nt.mg.out,nt.mg.good.out,nt.mg.cnt.out,gvt.rg.cmpl_w2,gvt.rg.cmpl_w3,bs.supp_w2,bs.supp_w3,nt.bs,nt.bs.cnt,occup,bribes.common_w2,bribes.common_w3,gvt.rg.unpred_w2,gvt.rg.unpred_w3,mg.ab.work_w2,mg.ab.work_w3,mg.ab.tourist_w2,mg.ab.tourist_w3,mg.ab.bw_w2,mg.ab.bw_w3,cvd.rch.econ_w2,cvd.rch.econ_w3,lost.job.dum,lost.job,bw.risk_w2,bw.risk_w3,mg.ab_w2,mg.ab_w3,rsktkr
145,1,1,4,2,1,1,1,1,Greater Banjul Area,TRUE,TRUE,1.09778564394722,1.5243003854403865,0,0,1,0,1,0,4.28571428571429,5,3,5,5,3,22,3,0,0,0,67,0,1,1,1,1,1,1,10,5,2,4,4,5,2,5,5,"Mid-level professional (e.g., teacher, nurse, mid-level government officer)",3,4,4,4,4,3,4,0,1,1,4,4,0,0,7,7,2,2,10
146,1,1,3,3,1,1,2,0,Lower River Region,TRUE,TRUE,1.060582467327549,1.4311865636307373,0,0,0,0,0,0,3.14285714285714,2,1,1.85714285714286,2.66666666666667,5,31,2,1,0,0,47,1,1,1,1,1,0,0,25,25,0,5,4,2,2,5,7,Student,2,2,5,4,1,2,1,2,1,2,2,4,0,2,7,10,2,2,0
147,0,0,NA,NA,1,NA,NA,1,Greater Banjul Area,FALSE,FALSE,1.1821661695409638,1.5087783375182282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,2,0,1,0,80,0,0,NA,NA,NA,NA,NA,3,2,1,NA,NA,NA,NA,20,3,Trader/hawker/vendor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,8
148,1,1,2,3,1,1,1,0,West Coast Region,TRUE,TRUE,1.0746486927077197,1.3992573682375558,0,0,1,0,0,0,3.85714285714286,3.66666666666667,1,3.42857142857143,4.33333333333333,1,28,2,1,1,0,73,1,1,1,1,1,2,2,6,5,NA,4,4,3,4,7,3,"Security services (police, army, private security)",5,4,4,5,0,2,3,1,1,1,4,4,0,2,9,8,2,3,10
149,1,0,4,NA,1,2,NA,0,West Coast Region,TRUE,FALSE,1.0803921154957368,1.5000119687617175,NA,NA,NA,NA,NA,NA,3.14285714285714,4,1,NA,NA,NA,21,3,1,0,0,53,0,1,1,NA,1,1,NA,15,10,3,4,NA,2,NA,2,3,Student,4,NA,4,NA,2,NA,2,NA,1,NA,3,NA,0,0,10,NA,1,NA,9
150,1,1,4,4,1,2,1,1,Upper River Region,TRUE,TRUE,1.0778628894724374,1.4649271474526215,1,1,0,1,1,0,4,3.33333333333333,2,4.14285714285714,4,2,26,2,0,1,0,47,0,1,1,1,NA,NA,NA,12,9,2,4,4,2,4,5,3,Trader/hawker/vendor,4,4,4,4,2,2,1,2,1,1,3,2,1,1,NA,5,2,1,0
151,1,1,3,2,1,1,1,0,Greater Banjul Area,TRUE,TRUE,1.0817641421511885,1.3252381969093114,0,0,0,0,1,0,4.42857142857143,2.66666666666667,4,5,3.33333333333333,5,28,2,0,1,0,60,0,0,0,0,NA,NA,NA,5,3,NA,4,5,2,1,1,1,Student,2,5,4,5,3,1,3,0,1,1,4,2,1,1,10,0,2,1,10
153,0,0,NA,NA,1,NA,NA,0,West Coast Region,FALSE,FALSE,1.157749980250483,1.4896262600757673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,2,1,1,0,60,1,1,NA,NA,3,3,NA,4,4,3,NA,NA,NA,NA,5,1,"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist, tailor, or skilled manufacturing worker, designer)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,2,NA,NA,NA,NA,10
154,1,1,4,4,1,1,1,0,Greater Banjul Area,TRUE,TRUE,1.0472913038709115,1.2579864504589438,0,0,0,0,0,0,4,3.33333333333333,2,3.28571428571429,4.33333333333333,1,22,2,1,0,0,53,0,1,1,0,2,1,NA,NA,NA,NA,2,2,2,2,5,0,"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist, tailor, or skilled manufacturing worker, designer)",4,4,4,1,2,2,2,4,1,1,4,4,NA,NA,9,10,2,1,10
155,1,1,3,3,2,1,1,0,Greater Banjul Area,TRUE,TRUE,1.0766608810442448,1.4093060572926086,1,0,0,0,0,0,3.14285714285714,4.66666666666667,1,3.57142857142857,3.33333333333333,4,25,3,1,0,0,67,0,0,1,0,NA,NA,NA,5,1,3,4,4,2,2,NA,0,Student,4,4,4,4,2,0,1,4,1,1,3,4,0,0,10,8,2,2,10
