UniqueID,mg.asp,mg.pln,treat.dum,post.dum,Region,wave,wave.comp,nonmissing2,nonmissing3,wt2,wt3,educ,age,male,bs.exp.now,bs.exp.past,Score,lost.job,job_w1,gvt.rg.cmpl,bs.supp
1307,4,2,0,0,West Coast Region,1,1,TRUE,TRUE,1.080993274896083,1.4347601300341213,2,35,1,0,1,53,1,0,4,2
1307,2,1,0,1,West Coast Region,2,1,TRUE,TRUE,1.080993274896083,1.4347601300341213,2,35,1,0,1,53,1,0,4,2
1307,4,1,0,1,West Coast Region,3,1,TRUE,TRUE,1.080993274896083,1.4347601300341213,2,35,1,0,1,53,1,0,4,1
1310,4,1,0,0,West Coast Region,1,1,TRUE,TRUE,1.044399415105123,1.2419458789780449,1,25,0,0,0,53,0,0,4,2
1310,4,1,0,1,West Coast Region,2,1,TRUE,TRUE,1.044399415105123,1.2419458789780449,1,25,0,0,0,53,0,0,4,4
1310,3,2,0,1,West Coast Region,3,1,TRUE,TRUE,1.044399415105123,1.2419458789780449,1,25,0,0,0,53,0,0,2,2
1312,4,2,1,0,Greater Banjul Area,1,1,TRUE,TRUE,1.0810568043607136,1.3364749977972343,2,33,1,0,0,53,2,1,4,2
1312,4,1,1,1,Greater Banjul Area,2,1,TRUE,TRUE,1.0810568043607136,1.3364749977972343,2,33,1,0,0,53,2,1,4,3
1312,4,1,1,1,Greater Banjul Area,3,1,TRUE,TRUE,1.0810568043607136,1.3364749977972343,2,33,1,0,0,53,2,1,3,2
1313,2,1,1,0,Greater Banjul Area,1,1,TRUE,TRUE,1.0903218053749806,1.336383404766735,2,20,0,0,0,53,1,0,4,3
1313,4,1,1,1,Greater Banjul Area,2,1,TRUE,TRUE,1.0903218053749806,1.336383404766735,2,20,0,0,0,53,1,0,2,2
1313,4,2,1,1,Greater Banjul Area,3,1,TRUE,TRUE,1.0903218053749806,1.336383404766735,2,20,0,0,0,53,1,0,2,4
1314,5,3,1,0,Greater Banjul Area,1,1,TRUE,TRUE,1.1110011734054948,1.3837406764865137,2,22,1,0,1,53,0,0,3,2
1314,3,1,1,1,Greater Banjul Area,2,1,TRUE,TRUE,1.1110011734054948,1.3837406764865137,2,22,1,0,1,53,0,0,4,1
1314,4,1,1,1,Greater Banjul Area,3,1,TRUE,TRUE,1.1110011734054948,1.3837406764865137,2,22,1,0,1,53,0,0,4,3
1315,2,3,1,0,Greater Banjul Area,1,1,TRUE,TRUE,1.0766608810442448,1.4093060572926086,3,25,1,1,0,53,1,0,4,4
1315,2,1,1,1,Greater Banjul Area,2,1,TRUE,TRUE,1.0766608810442448,1.4093060572926086,3,25,1,1,0,53,1,0,4,3
1315,2,1,1,1,Greater Banjul Area,3,1,TRUE,TRUE,1.0766608810442448,1.4093060572926086,3,25,1,1,0,53,1,0,2,2
1316,4,1,1,0,West Coast Region,1,1,TRUE,TRUE,1.0471903718977047,1.2276452610992843,2,25,0,1,0,53,2,1,5,4
1316,4,3,1,1,West Coast Region,2,1,TRUE,TRUE,1.0471903718977047,1.2276452610992843,2,25,0,1,0,53,2,1,NA,4
1316,4,1,1,1,West Coast Region,3,1,TRUE,TRUE,1.0471903718977047,1.2276452610992843,2,25,0,1,0,53,2,1,2,4
